Order ID,Order Date,Ship Date,Item Type,Sales Channel,Region,Country,Units Sold,Unit Price,Unit Cost
960830628,2011-01-01,2011-02-18,Snacks,Offline,Asia,Brunei,9990,152.58,97.44
443193900,2011-01-01,2011-02-15,Snacks,Online,Asia,Sri Lanka,9779,152.58,97.44
505655038,2011-01-01,2011-02-20,Cereal,Online,Central America and the Caribbean,Cuba,3417,205.7,117.11
931823718,2011-01-01,2011-02-02,Beverages,Offline,Europe,Montenegro,6200,47.45,31.79
495303857,2011-01-01,2011-01-03,Personal Care,Offline,Sub-Saharan Africa,Republic of the Congo,273,81.73,56.67
892229592,2011-01-01,2011-01-21,Clothes,Offline,Europe,San Marino,9419,109.28,35.84
989837539,2011-01-01,2011-01-14,Clothes,Offline,Central America and the Caribbean,Cuba,3779,109.28,35.84
688591134,2011-01-01,2011-02-09,Office Supplies,Online,Sub-Saharan Africa,Angola,8273,651.21,524.96
836026370,2011-01-01,2011-01-15,Clothes,Online,Sub-Saharan Africa,Namibia,7636,109.28,35.84
730113875,2011-01-01,2011-02-20,Snacks,Online,Sub-Saharan Africa,Sudan,5775,152.58,97.44
225110995,2011-01-01,2011-01-19,Clothes,Online,Europe,Italy,4201,109.28,35.84
734207141,2011-01-01,2011-02-19,Cereal,Offline,Australia and Oceania,East Timor,7064,205.7,117.11
202243983,2011-01-01,2011-01-27,Household,Offline,Sub-Saharan Africa,South Sudan,7344,668.27,502.54
994166839,2011-01-01,2011-01-12,Clothes,Offline,Middle East and North Africa,Afghanistan,4915,109.28,35.84
773683249,2011-01-01,2011-02-05,Beverages,Offline,Asia,Tajikistan,8921,47.45,31.79
428749454,2011-01-01,2011-02-20,Cereal,Offline,Middle East and North Africa,Lebanon,5346,205.7,117.11
946386182,2011-01-01,2011-01-03,Cereal,Online,Asia,Singapore,5557,205.7,117.11
143994128,2011-01-01,2011-02-15,Cereal,Online,Middle East and North Africa,Libya,9917,205.7,117.11
933870351,2011-01-01,2011-01-07,Meat,Offline,Europe,Poland,1844,421.89,364.69
393366611,2011-01-01,2011-01-12,Meat,Online,Asia,Kazakhstan,4776,421.89,364.69
667770755,2011-01-01,2011-01-21,Baby Food,Offline,Middle East and North Africa,Iran,7061,255.28,159.42
270845019,2011-01-01,2011-01-03,Snacks,Offline,Europe,Lithuania,7915,152.58,97.44
948432815,2011-01-01,2011-01-28,Household,Online,Asia,Thailand,1201,668.27,502.54
902698791,2011-01-01,2011-02-12,Personal Care,Online,Asia,Singapore,7487,81.73,56.67
486881291,2011-01-01,2011-01-06,Vegetables,Offline,Asia,Sri Lanka,7849,154.06,90.93
601216351,2011-01-01,2011-01-18,Meat,Offline,Sub-Saharan Africa,Angola,2134,421.89,364.69
177212321,2011-01-01,2011-02-04,Household,Online,Central America and the Caribbean,Dominica,9919,668.27,502.54
376875531,2011-01-01,2011-02-13,Cereal,Online,Asia,Tajikistan,4700,205.7,117.11
289500749,2011-01-01,2011-01-22,Fruits,Online,Asia,Taiwan,8560,9.33,6.92
952526080,2011-01-01,2011-01-26,Beverages,Offline,Middle East and North Africa,Bahrain,2489,47.45,31.79
281078183,2011-01-01,2011-01-25,Beverages,Offline,Europe,Switzerland,6135,47.45,31.79
233415544,2011-01-01,2011-02-10,Personal Care,Online,Middle East and North Africa,Qatar,1701,81.73,56.67
195986068,2011-01-01,2011-01-29,Office Supplies,Online,Asia,South Korea,5488,651.21,524.96
