Order ID,Order Date,Ship Date,Item Type,Sales Channel,Region,Country,Units Sold,Unit Price,Unit Cost
326376187,2012-01-01,2012-02-20,Cereal,Online,Middle East and North Africa,Iran,821,205.7,117.11
164260470,2012-01-01,2012-01-30,Fruits,Offline,Central America and the Caribbean,Cuba,7178,9.33,6.92
172565019,2012-01-01,2012-01-02,Cereal,Offline,Europe,Malta,4679,205.7,117.11
985190236,2012-01-01,2012-01-31,Fruits,Online,Europe,Malta,8539,9.33,6.92
787691676,2012-01-01,2012-01-22,Clothes,Offline,Sub-Saharan Africa,Benin,4326,109.28,35.84
725466573,2012-01-01,2012-01-18,Fruits,Online,Sub-Saharan Africa,Democratic Republic of the Congo,535,9.33,6.92
583935201,2012-01-01,2012-01-15,Cereal,Online,Asia,Nepal,8257,205.7,117.11
130924260,2012-01-01,2012-01-16,Vegetables,Offline,Europe,Netherlands,2253,154.06,90.93
637973773,2012-01-01,2012-01-22,Baby Food,Offline,Australia and Oceania,New Zealand,9471,255.28,159.42
852199447,2012-01-01,2012-02-20,Household,Offline,Middle East and North Africa,Azerbaijan,3609,668.27,502.54
282688796,2012-01-01,2012-02-10,Household,Offline,Middle East and North Africa,Iran,2752,668.27,502.54
559139573,2012-01-01,2012-01-23,Clothes,Offline,Europe,Czech Republic,680,109.28,35.84
546623742,2012-01-01,2012-01-27,Fruits,Online,Sub-Saharan Africa,Burkina Faso,6967,9.33,6.92
663005435,2012-01-01,2012-01-13,Cereal,Online,Middle East and North Africa,Tunisia ,6897,205.7,117.11
249352586,2012-01-01,2012-01-26,Clothes,Online,Asia,Japan,7826,109.28,35.84
910331284,2012-01-01,2012-01-06,Snacks,Online,Asia,Laos,6112,152.58,97.44
592357766,2012-01-01,2012-01-12,Vegetables,Online,Sub-Saharan Africa,Central African Republic,681,154.06,90.93
650489604,2012-01-01,2012-01-17,Personal Care,Online,Central America and the Caribbean,Guatemala,3184,81.73,56.67
394977223,2012-01-01,2012-01-28,Fruits,Offline,Sub-Saharan Africa,Comoros,1393,9.33,6.92
359476363,2012-01-01,2012-01-14,Vegetables,Online,Sub-Saharan Africa,Liberia,5899,154.06,90.93
220345675,2012-01-01,2012-01-11,Snacks,Online,Europe,Romania,4037,152.58,97.44
349243199,2012-01-01,2012-02-12,Cosmetics,Offline,Sub-Saharan Africa,Cameroon,7678,437.2,263.33
590311133,2012-01-01,2012-02-07,Household,Online,Sub-Saharan Africa,Burkina Faso,5037,668.27,502.54
673356616,2012-01-01,2012-01-10,Personal Care,Offline,Asia,Taiwan,41,81.73,56.67
276312863,2012-01-01,2012-01-17,Cereal,Offline,Central America and the Caribbean,Dominican Republic,5971,205.7,117.11
766871297,2012-01-01,2012-01-03,Vegetables,Online,Middle East and North Africa,Iraq,3113,154.06,90.93
847988164,2012-01-01,2012-01-27,Baby Food,Offline,Europe,Germany,7397,255.28,159.42
953900659,2012-01-01,2012-02-11,Beverages,Offline,Europe,Bosnia and Herzegovina,9258,47.45,31.79
581888568,2012-01-01,2012-02-10,Office Supplies,Online,Asia,Malaysia,2613,651.21,524.96
775293862,2012-01-01,2012-01-01,Personal Care,Offline,Sub-Saharan Africa,Lesotho,5537,81.73,56.67
850152814,2012-01-01,2012-01-26,Baby Food,Offline,Asia,Uzbekistan,7965,255.28,159.42
280524146,2012-01-01,2012-02-10,Household,Offline,Europe,Kosovo,2184,668.27,502.54
534225928,2012-01-01,2012-01-06,Cereal,Offline,Sub-Saharan Africa,Liberia,8179,205.7,117.11
951854026,2012-01-01,2012-01-17,Vegetables,Offline,Europe,Armenia,3613,154.06,90.93
153673255,2012-01-01,2012-02-02,Baby Food,Online,Middle East and North Africa,Jordan,4186,255.28,159.42
303391158,2012-01-01,2012-02-02,Clothes,Offline,Sub-Saharan Africa,Uganda,9041,109.28,35.84
787809693,2012-01-01,2012-02-16,Cosmetics,Offline,Europe,Moldova ,9250,437.2,263.33
149698007,2012-01-01,2012-01-09,Cereal,Online,Sub-Saharan Africa,Zimbabwe,7822,205.7,117.11
872901809,2012-01-01,2012-02-13,Household,Online,Sub-Saharan Africa,Swaziland,9898,668.27,502.54
326258170,2012-01-01,2012-01-26,Clothes,Online,Europe,Luxembourg,5898,109.28,35.84
837518966,2012-01-01,2012-01-05,Cereal,Online,Sub-Saharan Africa,Djibouti,9328,205.7,117.11
